Key,english

buffLiquidatorSetBonusName,"Liquidator"
buffLiquidatorSetBonusDesc,"A true professional knows how to maximize their assets. Dismembering marked limbs provides a payday of Dukes and Stamina."
buffLiquidatorMarkedLimbName,"Marked Limb"
buffLiquidatorMarkedLimbDesc,"This limb is primed for liquidation. Your next hit has a significantly increased chance to dismember it."
buffLiquidatorPaydayName,"Payday!"
buffLiquidatorPaydayDesc,"Your professional skills have paid off, earning you a bonus of Dukes."
buffNaturefreakSetBonusName,"Nature Freak"
buffNaturefreakSetBonusDesc,"You are one with the wilds. You gain different bonuses based on the biome you are in and can perform powerful special abilities."
buffNaturefreakInCombatName,"In Combat"
buffNaturefreakInCombatDesc,"You are currently in combat."
buffNaturefreakRootedName,"Rooted"
buffNaturefreakRootedDesc,"Standing still in combat has made you one with the earth. You are much harder to damage and regenerate health, but your movement is severely limited."
buffNaturefreakLungeReadyName,"Primal Lunge Ready"
buffNaturefreakLungeReadyDesc,"Your next power attack with an axe or knife will be a devastating long-range lunge."
buffNaturefreakLungeCooldownName,"Primal Lunge Cooldown"
buffNaturefreakLungeCooldownDesc,"You must wait before you can perform another Primal Lunge."
buffEagleScoutSetBonusName,"Eagle Scout"
buffEagleScoutSetBonusDesc,"A master of field craft, you excel at hunting and tracking. Mark your prey with an arrow, then move in for the kill."
buffEaglescoutMarkedTargetName,"Marked Target"
buffEaglescoutMarkedTargetDesc,"This target has been marked for death. You will deal bonus damage to it with archery and clubs."
buffMartialArtistSetBonusName,"Martial Artist"
buffMartialArtistSetBonusDesc,"Your body is a lethal weapon. While your unarmed attacks are weaker, each hit builds a flurry of blows, rapidly increasing your attack speed."
buffLawmanSetBonusName,"Lawman"
buffLawmanSetBonusDesc,"You are the law in this apocalyptic town. Taking damage builds 'Crime' stacks, which empower your next attack with righteous 'Punishment'."
buffLawmanCrimeName,"Crime"
buffLawmanCrimeDesc,"The lawlessness of this world is building your resolve. Each stack increases your damage resistance."
buffLawmanPunishmentName,"Punishment"
buffLawmanPunishmentDesc,"You are ready to deliver justice. Your next attack will deal massive bonus damage based on the 'Crime' stacks consumed."
buffAgentSetBonusName,"Agent"
buffAgentSetBonusDesc,"A master of stealth and espionage. Taking damage while sneaking allows you to perform an 'Escape Artist' maneuver to reposition."
buffAgentEscapeArtistProcName,"Escape Artist"
buffAgentEscapeArtistProcDesc,"You move with supernatural speed and are nearly impossible to detect."
buffAgentEscapeArtistCooldownName,"Escape Artist Cooldown"
buffAgentEscapeArtistCooldownDesc,"You must wait before using Escape Artist again."
buffAgentShadowStepName,"Shadow Step"
buffAgentShadowStepDesc,"You have vanished into the shadows, making you incredibly difficult to see."
buffCannibalSetBonusName,"Cannibal"
buffCannibalSetBonusDesc,"You are what you eat. Killing enemies has a chance to provide a 'Feast', and your strength grows as your infection worsens."
buffCannibalFeastName,"Feast!"
buffCannibalFeastDesc,"You have harvested a gruesome but nourishing meal from your victim."
buffCultistSetBonusName,"Cultist"
buffCultistSetBonusDesc,"You draw power from the cycle of day and night, gaining different bonuses depending on the time."
buffCoachSetBonusName,"Coach"
buffCoachSetBonusDesc,"Your presence inspires your allies, granting them a portion of your strength."
buffPerkCoachedSetBonusName,"Coached"
buffPerkCoachedSetBonusDesc,"You are inspired by your Coach's presence, granting you bonus damage."
buffFreerunnerSetBonusName,"Freerunner"
buffFreerunnerSetBonusDesc,"The world is your playground. Your body has been honed for incredible feats of parkour and endurance."
buffRancherSetBonusName,"Rancher"
buffRancherSetBonusDesc,"A master of the homestead, you gain powerful bonuses while near your campfire and can cook fortifying meals."
buffRancherWellFedName,"Well Fed"
buffRancherWellFedDesc,"A hearty meal has fortified your body, reducing stamina costs and increasing damage resistance."
buffRancherHomesteadName,"Homestead"
buffRancherHomesteadDesc,"You feel at home. While near your Homestead Fire, you gain bonus XP, damage, and are immune to fall damage."
buffRancherAuraName,"Homestead Aura"
buffRancherAuraDesc,"The warmth of the homestead fire is invigorating, reducing stamina costs for tools and speeding up crafting."
buffRancherHomesteadAOEName,"In Homestead"
buffRancherHomesteadAOEDesc,"You are within the comforting radius of a Homestead Fire."
buffMilitiaSetBonusName,"Militia"
buffMilitiaSetBonusDesc,"A trained marksman, you excel at swapping between weapon types to maximize your firepower."
buffRedneckSetBonusName,"Redneck"
buffRedneckSetBonusDesc,"You're a master of improvised engineering, getting the most out of pipe weapons and salvage tools."
buffFramerSetBonusName,"Framer"
buffFramerSetBonusDesc,"You're a master builder, gaining bonuses to sledgehammers and extra stamina for the tough jobs."
buffFramerFocusName,"Morning Focus"
buffFramerFocusDesc,"The start of a new day brings clarity, unlocking special recipes and boosting your crafting speed."
buffHarvesterSetBonusName,"Harvester"
buffHarvesterSetBonusDesc,"A grim hunter of the wastes. You specialize in taking down radiated threats and gain bonuses for spears."
buffSpecialForcesSetBonusName,"Special Forces"
buffSpecialForcesSetBonusDesc,"An elite soldier trained for the worst situations. When your health drops critically low, 'Last Stand' will activate."
buffSpecialForcesLastStandName,"Last Stand"
buffSpecialForcesLastStandDesc,"You are an unstoppable force. You have infinite stamina, lightning-fast reloads, immunity to stuns, and powerful health regeneration."
buffSpecialForcesLastStandCooldownName,"Last Stand Cooldown"
buffSpecialForcesLastStandCooldownDesc,"You need to recover before you can make another Last Stand."
buffTrailblazerSetBonusName,"Trailblazer"
buffTrailblazerSetBonusDesc,"You thrive in the most desolate environments, turning the very ashes of the world to your advantage."
buffForagerSetBonusName,"Forager"
buffForagerSetBonusDesc,"You are a master of living off the land, finding rare ingredients from plants and animals that can be crafted into powerful poultices."
buffFeralHunterSetBonusName,"Feral Hunter"
buffFeralHunterSetBonusDesc,"You are an expert at hunting the most dangerous prey, slowing and dealing bonus damage to feral zombies."
buffRoadwarriorSetBonusName,"Road Warrior"
buffRoadwarriorSetBonusDesc,"You are the king of the asphalt, gaining powerful vehicle and shotgun bonuses."
buffExplosiveSpecialistName,"Explosive Specialist"
buffExplosiveSpecialistDesc,"Tough, resilient, and resourceful, you are an expert at handling explosives and surviving the chaos they create."
buffSniperSetBonusName,"Sniper"
buffSniperSetBonusDesc,"A master marksman. Headshot kills with powerful firearms allow you to load a 'Shrapnel Shot' into your weapon for your next attack."
buffSniperShrapnelArmedName,"Shrapnel Shot Armed"
buffSniperShrapnelArmedDesc,"Your next shot will be a harmless projectile that explodes into deadly shrapnel on impact."
buffJunkriderSetBonusName,"Junkrider"
buffJunkriderSetBonusDesc,"A master of vehicular mayhem. Taking damage while in a vehicle has a chance to trigger a fiery 'Overheat' explosion."
buffJunkriderOverheatCooldownName,"Overheat Cooldown"
buffJunkriderOverheatCooldownDesc,"Your vehicle's engine needs to cool down before it can Overheat again."
buffJunkriderBurnEffectName,"Overheated!"
buffJunkriderBurnEffectDesc,"You've been blasted by the engine's fiery exhaust!"
